Severity	Code	Description	Project	File	Line	Suppression State
Warning (active)	CA1416	This call site is reachable on: 'Android' 21.0 and later. 'NotificationChannel' is only supported on: 'android' 26.0 and later. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1416)	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	109	
Warning (active)	CA1416	This call site is reachable on: 'Android' 21.0 and later. 'NotificationImportance.Low' is only supported on: 'android' 24.0 and later. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1416)	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	112	
Warning (active)	CA1416	This call site is reachable on: 'Android' 21.0 and later. 'NotificationChannel.Description.set' is only supported on: 'android' 26.0 and later. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1416)	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	115	
Warning (active)	CA1416	This call site is reachable on: 'Android' 21.0 and later. 'NotificationChannel.Description' is only supported on: 'android' 26.0 and later. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1416)	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	115	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	119	
Warning (active)	CA1416	This call site is reachable on: 'Android' 21.0 and later. 'NotificationManager.CreateNotificationChannel(NotificationChannel)' is only supported on: 'android' 26.0 and later. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1416)	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	119	
Warning (active)	CA1416	This call site is reachable on: 'Android' 21.0 and later. 'PendingIntentFlags.Immutable' is only supported on: 'android' 23.0 and later. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1416)	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	132	
Warning (active)	CA1422	This call site is reachable on: 'Android' 21.0 and later. 'Notification.Builder' is obsoleted on: 'Android' 26.0 and later. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1422)	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	135	
Warning (active)	CA1416	This call site is reachable on: 'Android' 21.0 and later. 'Notification.Builder.SetChannelId(string?)' is only supported on: 'android' 26.0 and later. (https://learn.microsoft.com/dotnet/fundamentals/code-analysis/quality-rules/ca1416)	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	143	
Warning (active)	CS8602	Dereference of a possibly null reference.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	182	
